Job Title,Company Name,Location,Experience,Salary,Job Description,Skills
Data Scientist and Project Manager,Volvo Group,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Data analysis, Spare parts, Operational excellence, Analytical, Construction equipment, Project planning, Continuous improvement, Operations"
Data Scientist,Capgemini,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"data manipulation, microsoft azure, sql, predictive modeling, aws, python, natural language processing, sentiment analysis"
Data Scientist,Fractal Analytics,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Data analysis, Automation, data science, Demand forecasting, Consulting, Machine learning, Agile, FMCG"
Gen AI - Data Scientist,Tiger Analytics,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Gen AI, LLM, Python, Data Science, Artificial Intelligence, Natural Language Processing, Rag, Processing"
Gen AI - Data Scientist,Tiger Analytics,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Gen AI, LLM, Python, Data Science, Artificial Intelligence, Natural Language Processing, Rag, Gen"
Data Scientist,Metlife,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Predictive Modeling, Machine Learning, Deep Learning, Data Science, Statistical Modeling, Tensorflow, Logistic Regression, Decision Tree"
Data Scientist /AIML Engineer-MSys Technologies,MSys Technologies,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Data Science, Artificial Intelligence, Aiml, LLM, Python, Pytorch, langchain, API"
Data Scientist - Customer & Marketing,Trent Limited,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Market Mix Modelling, Machine Learning, Retail Analytics, Linear Regression, Customer Analytics, Predictive Modeling, Decision Tree, Logistic Regression"
Data Scientist/Analyst,Turing,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Data"
Data Scientist/Analyst,Turing,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Analysis"
Data Scientist/Analyst,Turing,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Data"
Data Scientist/Analyst,Turing,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Notebook"
Data Scientist/Analyst,Turing,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Intelligence"
Data Scientist/Analyst,Turing,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Science"
Data Scientist/Analyst,Turing,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Data"
Data Scientist/Analyst,Turing,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Data Scientist/Analyst, Analysis, Data, Data analysis"
Data Scientist,Ericsson,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Data management, Artificial Intelligence, Machine learning, Cloud, Programming, Business intelligence, Open source, Analytics"
Data Scientist - FP&A,Paypal,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Cloud computing, Automation, data science, Analytical, Risk assessment, Financial planning, Machine learning, Operations"
Data Scientist,Harman Connected Services Corporation India Pvt.,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Analytical skills, data science, Artificial Intelligence, Machine learning, Agile, Natural language processing, high performance computing, consumer goods"
Data Scientist - Hyderabad/Bangalore - F2F - 22nd March,People Staffing Solution,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Data Science, Statistical Modeling, Machine Learning, SQL, Python, Predictive Modeling, Power Bi, Modeling"
Data Scientist(AIML),Aspire Systems,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data mining, Java, C++, GraphDB, C, natural language processing, Couchbase, Cassandra"
Data Scientist,NA,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Model Development, Predictive Modeling, Logistic Regression, Decision Tree, Linear Regression, Statistical Modeling, Collections, Machine Learning"
Data Scientist,Tech Mahindra,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Mongo, Lambda Architecture, Storm, performance tuning, PySpark, Hadoop CLI, Hadoop, Kafka"
Data Scientist with Gen AI,Zensar,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Training, Data analysis, Usage, Machine learning, Management, AWS, Python, Gen"
Data Scientist,Merkle Science,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Cloud computing, Version control, Machine learning, Cloud, Data processing, Natural language processing, Project delivery, Forecasting"
Data Scientist,Global Fpo,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"AI Developer, NLP, Artificial Intelligence, DL, LLM, OCR, Ml, Development"
Data Scientist/AI&ML - Technical Lead,Prodapt Solutions,Mumbai (All Areas),6-8 Yrs,32.5-45 Lacs PA,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Python, data preprocessing, Azure, PyTorch, scikit-learn, feature engineering, data visualization, AWS"
Data Scientist,Colgate-Palmolive (India),Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Logistic regression, Neural networks, Business analytics, Analytical, Machine learning, Predictive modeling, Continuous improvement, Forecasting"
"Distinguished, Data scientist",Walmart,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","System architecture, Networking, data science, spark, Machine learning, enterprise business, Data processing, data visualization"
Data Scientist,Cotiviti,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Data Science, Machine Learning, Modeling, Predictive Modeling, python, Advanced Analytics, Pandas, Statistical Modeling"
Data Scientist - 3,Satsure Analytics,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Aviation, Machine learning, Agile, Resource management, Forecasting, IEEE, Monitoring, Remote sensing"
Data Scientist - AI/ML,Cotiviti,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Machine Learning, Tensorflow, R, Ai Algorithms, Logistic Regression, Statistical Modeling, Data mining, Ml Algorithms"
Senior Data Scientist - Artificial Intelligence/Machine Learning,Zettamine Labs,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Data Science, Tensorflow, Prompt Engineering, Data Scientist, Artificial Intelligence, LLM, Machine Learning, Deep Learning"
Data Scientist,Spring Financial,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Computer science, customer segmentation, Data analysis, Project management, Underwriting, risk modeling, Business intelligence, Digital marketing"
Data Scientist,Q3 technologies,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Data Science, GEN AI, Tensorflow, Artificial Intelligence, Pandas, Machine Learning, Numpy, Python"
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Notebook"
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Notebook"
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Notebook"
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Data"
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Science"
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Data Scientist/Analyst, Analysis, Data, Data analysis"
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Data"
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Data"
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Notebook"
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Intelligence"
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Data"
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,Not disclosed,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Notebook"
Data Scientist III,Walmart,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Networking, Machine learning, Data structures, SEZ, Information technology, Distribution system, Analytics, SQL"
Data Scientist/Analyst,Turing,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Notebook"
Data Scientist/Analyst,Turing,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Notebook"
Data Scientist/Analyst,Turing,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Intelligence"
Data Scientist/Analyst,Turing,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Data Scientist/Analyst, Analysis, Data analysis, Data"
Data Scientist/Analyst,Turing,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Data Scientist/Analyst, Analysis, Data, Data analysis"
Data Scientist/Analyst,Turing,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Data Scientist/Analyst, Analysis, Data, Data analysis"
Data Scientist - GEN AI,Fractal Analytics,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"data science, Manager Technology, Agile, Director, Individual Contributor, Management, Artificial Intelligence, Technology"
Data Scientist,Amneal Pharmaceuticals,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Data Science, Artificial Intelligence, Machine Learning, Data, Intelligence, Machine, Science"
Data Scientist (Generative AI),Philips,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Computer vision, deep learning, Diversity and Inclusion, Machine learning, Healthcare, Natural language processing, Research, Open source"
Data Scientist,Hexaware Technologies,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"R Program, Python, SQL, Data, R, Program"
Data Scientist,Ericsson,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Computer science, Automation, HP data protector, data science, GCP, Configuration management, Analytical, Cloud"
Data Scientist,Visa,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Operations research, Business analytics, Analytical, Predictive modeling, Business solutions, Financial services, Product marketing, SQL"
Data Scientist - FP&A,Xoom,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Cloud computing, Automation, data science, Analytical, Risk assessment, Financial planning, Machine learning, Wellness"
Data Scientist,Valenta Bpo Solutions,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Stakeholder Engagement, deep learning, data science, Db2, Machine learning, Agile, data visualization, Data mining"
Data Scientist - BLR/ HYD/ GGN,Genpact,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Data Science, Predictive Modeling, Decision Tree, Text Analytics, Natural Language Processing, Neural Networks, Text Mining, LLM"
Data Scientist,Neal Analytics,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Data analysis, Automation, data science, Demand forecasting, Consulting, Machine learning, Agile, FMCG"
Data Scientist,AQe Digital (formerly Aqe Group),Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"algorithms, python, data mining, data architecture, machine learning algorithms, data collection, sql, Data"
Data Scientist,DigitalAPICraft,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Computer science, Telecom, Performance tuning, GCP, Machine learning, Healthcare, Natural language processing, data visualization"
Data Scientist,Team lease Digital,Bengaluru,2-7 Yrs,Not disclosed,Position Summary... ...,"Data Bricks, Python, R, Power Bi, ADLS, Tableau, Machine Learning, AWS"
Data Scientist - Platforms,Microland,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Root cause analysis, Automation engineering, Manufacturing process, Process control, Artificial Intelligence, Machine learning, Software development life cycle, Natural language processing"
"Data Scientist, AI, ML, NLP, Deep Learning - 4 Yrs To 15 Yrs",A MNC Client Of GSN,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","python, machine learning, SQL, deep learning, NLP, scikit-learn, AI, tensorflow"
Data Scientist,IBM,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","algorithms, machine learning, geo, data science, machine learning algorithms, deep learning frameworks, continuous integration, python"
Data Scientist - Python R Expertise,Digital Mapout Solutions,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Data Science, Python, R programming, AI ML, Programming, Data, R Program, Ml"
AI Data Scientist,Johnson Controls,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Computer science, SOA, GCP, Machine learning, Deployment, Sensors, Test cases, JIRA"
AI Data Scientist,Johnson Controls,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Computer science, SOA, GCP, Machine learning, Cloud, Deployment, Sensors, Monitoring"
Data Scientist,Abinbev Gcc Services,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Statistical Modeling, Ml Algorithms, Python, SQL, Communication Skills, Excel, Classification, Regression"
Data Scientist,Uplers,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Data Science, Predictive Modeling, Big Data Technologies, Kibana, Training Models, Data Cleanup, loan lifecycle, Data Visualization"
Data Scientist,Cradlepoint,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Wireless, Computer science, Networking, Linux, WAN, Machine learning, Predictive modeling, Analytics"
Data Scientist | GeakMinds | Chennai,GeakMinds Technologies Pvt Ltd,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","AI&ML, Machine Learning, Python, SQL, Azure Synapse, Azure Analytics, Power Bi, Tableau"
Data Scientist,Ebix,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Data Science, Big Data, AI, Data Driven, Data Analytics, Machine Learning, Python, Drives"
Data Scientist - Regression,Tiger Analytics,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Data scientist, Classification, Regression, Machine Learning, Python, Machine, Data"
Data Scientist I,CM Telematics,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Claims, Coding, Risk assessment, Debugging, Machine learning, Telematics, Scheduling, SQL"
Data Scientist(4),Cradlepoint,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Data management, Artificial Intelligence, Machine learning, Cloud, Programming, Business intelligence, Open source, Analytics"
Data Scientist - Regression (Forecasting),Tiger Analytics,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Data scientist, Regression, Machine Learning, Forecasting, Python, Time Series Analysis, Classification, Pricing"
Data Scientist,Banking,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Python, Pytorch, Artificial Intelligence, Pandas, Machine Learning, AWS, Numpy, Scikit-Learn"
Data Scientist,Banking,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Python, Pytorch, Artificial Intelligence, Pandas, Machine Learning, AWS, Numpy, Scikit-Learn"
Data Scientist,Brillius,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Logistic regression, Front end, Analytical, Machine learning, linear regression, Data processing, Data quality, Data mining"
Data Scientist(AI/ML),SPECTRAFORCE,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Data Science, GenAI, Aiml, Hadoop Spark, Python, NLP, Hadoop, Ml"
Data Scientist,ACS,Bengaluru,1-4 Yrs,Not disclosed,"Familiarity with industry standards for batch control systems, software development lif...","Data Science, Gen AI, Aiml, Computer Vision, Python, Natural Language Processing, LLM, Machine Learning"
Data Scientist - Phd only,Anurag Electronic Gujarat,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Natural Language Processing, Phd, Deep Learning, Data Science, Processing, Languages, Process, Data"
Data Scientist,Turing,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Computer science, Analytical skills, Data analysis, data science, Networking, Manager Technology, Python, Analytical Skill"
Data Scientist I A - GBS IND,Bank Of America,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Data analysis, Software design, GIT, Consulting, Workflow, Oracle, Risk management, JIRA"
Data Scientist,Casepoint,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Statistical analysis, Machine learning, Cloud, Data collection, data integrity, Data mining, Monitoring, Analytics"
Digital Data Engineer (Scientist),Faurecia,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Training, Career development, Manager Technology, Agile, Electronics, Automotive, Management, Technology"
Data Scientist,Schneider Electric,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Computer science, Data management, Analytical, Machine learning, Agile, Information retrieval, Open source, Analytics"
Data Scientist,Quiksync Technologies Llp,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Data Science, Natural Language Processing, Machine Learning, Deep Learning, Python, Tensorflow, Pytorch, Data Wrangling"
Data Scientist,Kfin Technologies,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Ai Algorithms, Data Scientist, Ml Algorithms, Pyspark, AWS, sql, Ml, Data"
Data Scientist / GenAI Specialist / AI Engineer,Apnatime Tech,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Generative AI, GenAI solution development, LLM, Data Science, Azure, Transformer, LLMOps, LLM fine-tuning"
Data Scientist,Arcolab,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Data Scientist, MLOPS, Statistical Algorithms, Python, Statistical Analyses, Statistics, Algorithms, Data"
Data Scientist,Xoom,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Computer science, Statistical programming, Data analysis, Payment processing, Analytical, Continuous improvement, Business solutions, Teradata"
Data Scientist,HARMAN,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","thermal mechanical engineering, HVAC, air conditioning, Clasical machine learning, Python, Sensor, predictive anatics, ML"
Data Scientist,Metlife,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Artificial Intelligence, Machine Learning, data science, Tensorflow, python, Decision Tree, Logistic Regression, Ai Solutions"
Data Scientist,Sun Life Global Solutions,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Data Science, Deep Learning Frameworks, Data Scientist, Aws Sagemaker, Machine Learning Algorithms, Machine Learning, Deep Learning, Python"
"Gen AI Data Scientist - GGN,HYD,BLR",Genpact,Mumbai,0-2 Yrs,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","python, Machine Learning, Gen AI Data Scientist, azure, Predictive Modeling, Generative AI, Logistic Regression, Natural Language Processing"
